ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Year,Age,Has_Kids_Teens,Customer_Tenure,Total_Spending,Age_Group,Income_Group,Education_Num
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,2012,65,True,2,972,60+,Medium,4
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,2014,60,True,0,544,46-60,Medium,4
1409,1951,Graduation (Unspecified),Cohabiting,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2013,63,True,1,444,60+,Low,2
7892,1969,Graduation (Unspecified),Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,2013,45,False,1,75,31-45,Low,2
2404,1976,Graduation (Unspecified),Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2013,38,True,1,257,31-45,Medium,2
9422,1989,Graduation (Unspecified),Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,2013,25,True,1,131,18-30,Low,2
6864,1989,Master,Previously Married,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,2014,25,False,0,30,18-30,Low,3
3033,1963,Master,Cohabiting,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013,51,False,1,318,46-60,Low,3
5710,1970,Graduation (Unspecified),Cohabiting,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,2012,44,True,2,120,31-45,Low,2
7373,1952,PhD,Previously Married,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2012,62,True,2,302,60+,Low,4
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,2013,68,False,1,1196,60+,High,3
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,63,True,1,65,60+,Low,3
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,2013,44,True,1,913,31-45,Medium,4
10755,1976,Master,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,2013,38,True,1,81,31-45,Low,3
8595,1973,Graduation (Unspecified),Previously Married,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2014,41,True,0,67,31-45,Low,2
2968,1943,PhD,Previously Married,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,2013,71,False,1,902,60+,Low,4
8601,1980,Graduation (Unspecified),Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,2013,34,True,1,1395,31-45,High,2
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013,29,True,1,53,18-30,Low,3
8430,1957,Graduation (Unspecified),Cohabiting,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,2012,57,True,2,22,46-60,Low,2
7281,1959,PhD,Single,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,2013,55,False,1,186,46-60,Low,4
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,2013,39,True,1,31,31-45,Low,3
1371,1976,Graduation (Unspecified),Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,2014,38,False,0,984,31-45,High,2
9909,1996,Master,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,2012,18,False,2,122,18-30,Low,3
7286,1968,Graduation (Unspecified),Cohabiting,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,2013,46,True,1,55,46-60,Low,2
7244,1951,Graduation (Unspecified),Single,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,2014,63,True,0,124,60+,Low,2
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2012,60,True,2,1319,46-60,High,4
8614,1957,Graduation (Unspecified),Previously Married,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,2014,57,True,0,507,46-60,Medium,2
1331,1977,Graduation (Unspecified),Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,37,True,1,72,31-45,Low,2
9381,1978,Graduation (Unspecified),Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2013,36,True,1,606,31-45,Medium,2
10383,1966,Graduation (Unspecified),Previously Married,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,2013,48,False,1,1093,46-60,High,2
7437,1988,Graduation (Unspecified),Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,2014,26,True,0,29,18-30,Low,2
8557,1982,Graduation (Unspecified),Single,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013,32,True,1,46,31-45,Low,2
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,2014,46,True,0,518,46-60,Medium,4
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,2013,32,False,1,1438,31-45,High,3
3076,1975,Graduation (Unspecified),Cohabiting,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2012,39,True,2,612,31-45,Medium,2
1012,1952,Graduation (Unspecified),Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,2013,62,True,1,884,60+,Medium,2
6518,1951,PhD,Previously Married,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,2013,63,True,1,606,60+,Medium,4
4137,1948,Graduation (Unspecified),Cohabiting,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,2013,66,False,1,1076,60+,High,2
8082,1971,Graduation (Unspecified),Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,2013,43,True,1,34,31-45,Low,2
1386,1967,Graduation (Unspecified),Cohabiting,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014,47,True,0,11,46-60,Low,2
9369,1979,Master,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,2014,35,True,0,1274,31-45,High,3
4477,1958,Graduation (Unspecified),Cohabiting,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,2013,56,True,1,653,46-60,High,2
1357,1970,Graduation (Unspecified),Cohabiting,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,2013,44,True,1,1562,31-45,High,2
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,2012,60,False,2,1253,46-60,Medium,3
10629,1973,Master,Married,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012,41,True,2,109,31-45,Low,3
6312,1959,Graduation (Unspecified),Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,2013,55,True,1,863,46-60,Medium,2
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2013,39,True,1,661,31-45,Medium,4
1050,1952,Graduation (Unspecified),Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,2014,62,False,0,65,60+,Low,2
5846,1977,Graduation (Unspecified),Previously Married,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,2012,37,True,2,13,31-45,Low,2
10401,1976,Master,Cohabiting,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,2013,38,False,1,18,31-45,Low,3
1618,1965,Graduation (Unspecified),Cohabiting,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,2013,49,False,1,692,46-60,Medium,2
3332,1985,Graduation (Unspecified),Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,2012,29,True,2,165,18-30,Low,2
2261,1969,Graduation (Unspecified),Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013,45,True,1,16,31-45,Low,2
5346,1973,Master,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,2013,41,True,1,79,31-45,Low,3
4119,1963,Master,Cohabiting,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013,51,False,1,318,46-60,Low,3
535,1987,Graduation (Unspecified),Previously Married,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,2014,27,False,0,778,18-30,High,2
5268,1960,Graduation (Unspecified),Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2013,54,True,1,56,46-60,Low,2
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2013,44,True,1,151,31-45,Low,3
4452,1957,Graduation (Unspecified),Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,2014,57,True,0,372,46-60,Low,2
8504,1973,Graduation (Unspecified),Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,2014,41,False,0,1366,31-45,High,2
771,1967,Graduation (Unspecified),Cohabiting,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,2014,47,True,0,194,46-60,Medium,2
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,2012,57,True,2,603,46-60,Low,4
9235,1957,Graduation (Unspecified),Single,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014,57,True,0,18,46-60,Low,2
5798,1973,Master,Cohabiting,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,2013,41,False,1,985,31-45,Low,3
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2014,42,True,0,32,31-45,Low,3
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,2014,44,True,0,43,31-45,Low,4
7516,1983,Graduation (Unspecified),Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,2014,31,True,0,45,31-45,Low,2
7247,1960,Graduation (Unspecified),Previously Married,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,2012,54,True,2,606,46-60,Low,2
11100,1972,Graduation (Unspecified),Previously Married,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,42,True,1,63,31-45,Medium,2
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,2013,31,False,1,410,31-45,Low,4
1473,1960,Master,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013,54,True,1,72,46-60,Low,3
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2014,55,True,0,55,46-60,Low,4
4518,1979,Graduation (Unspecified),Cohabiting,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,2013,35,True,1,1169,31-45,High,2
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,2013,69,False,1,1120,60+,Medium,4
8908,1959,Graduation (Unspecified),Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,2014,55,False,0,1097,46-60,High,2
8373,1979,Basic Education,Cohabiting,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,2013,35,True,1,29,31-45,Low,1
7533,1964,Graduation (Unspecified),Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,2013,50,True,1,187,46-60,Low,2
2683,1969,Graduation (Unspecified),Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2013,45,True,1,910,31-45,Medium,2
3629,1978,Graduation (Unspecified),Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,2012,36,True,2,145,31-45,Low,2
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,2012,54,False,2,850,46-60,High,3
5077,1979,Graduation (Unspecified),Cohabiting,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,2013,35,True,1,969,31-45,High,2
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,2012,23,False,2,1820,18-30,Medium,4
3267,1963,Master,Cohabiting,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,2014,51,True,0,608,46-60,Medium,3
999,1991,Graduation (Unspecified),Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,2013,23,False,1,730,18-30,High,2
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,2012,34,True,2,551,31-45,Low,4
2286,1962,Graduation (Unspecified),Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2013,52,True,1,114,46-60,Low,2
367,1978,Master,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,2013,36,True,1,577,31-45,Low,3
5234,1967,Master,Cohabiting,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2013,47,True,1,81,46-60,Low,3
9862,1969,Graduation (Unspecified),Cohabiting,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013,45,True,1,33,31-45,Low,2
9805,1953,Master,Cohabiting,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,2013,61,True,1,660,60+,Medium,3
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,2014,47,True,0,80,46-60,Low,3
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2013,29,True,1,30,18-30,Low,3
7386,1976,Graduation (Unspecified),Previously Married,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2013,38,True,1,43,31-45,Low,2
7215,1983,Graduation (Unspecified),Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,2013,31,False,1,1135,31-45,High,2
1491,1965,Master,Cohabiting,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,2013,49,False,1,559,46-60,High,3
3381,1953,Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,61,True,0,90,60+,Medium,3
8268,1961,PhD,Married,51381.5,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,2013,53,True,1,404,46-60,Low,4
11051,1956,PhD,Cohabiting,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,2014,58,True,0,661,46-60,High,4
8026,1952,Graduation (Unspecified),Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,2013,62,True,1,463,60+,Medium,2
433,1958,Master,Single,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,2013,56,True,1,632,46-60,Medium,3
9597,1969,Graduation (Unspecified),Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,2014,45,False,0,725,31-45,High,2
1295,1963,Graduation (Unspecified),Married,51381.5,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,2013,51,True,1,725,46-60,Low,2
5290,1964,PhD,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,2013,50,True,1,279,46-60,Low,4
1685,1967,PhD,Cohabiting,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,2013,47,False,1,1482,46-60,Medium,4
5342,1976,Basic Education,Previously Married,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,2012,38,True,2,29,31-45,Low,1
9579,1959,PhD,Married,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,2013,55,True,1,106,46-60,Low,4
7660,1973,PhD,Single,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,2014,41,True,0,49,31-45,Low,4
1461,1965,PhD,Previously Married,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,49,True,1,38,46-60,Low,4
11084,1976,Master,Cohabiting,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,2013,38,True,1,1053,31-45,Medium,3
2937,1974,PhD,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,2013,40,True,1,871,31-45,High,4
9701,1988,Graduation (Unspecified),Cohabiting,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,2013,26,True,1,312,18-30,Low,2
9949,1976,Graduation (Unspecified),Married,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,2012,38,True,2,877,31-45,Medium,2
10837,1975,Graduation (Unspecified),Married,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,2012,39,True,2,68,31-45,Low,2
3120,1981,Graduation (Unspecified),Cohabiting,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,2013,33,True,1,22,31-45,Low,2
5885,1973,Master,Married,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,2012,41,True,2,211,31-45,Low,3
4050,1966,Master,Married,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,2014,48,False,0,127,46-60,Low,3
3830,1953,Master,Married,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,2014,61,True,0,459,60+,Medium,3
7987,1969,Graduation (Unspecified),Married,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,2014,45,True,0,460,31-45,Medium,2
7798,1972,Master,Cohabiting,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,2012,42,True,2,429,31-45,Low,3
92,1988,Graduation (Unspecified),Single,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,2014,26,True,0,89,18-30,Low,2
